KOI,radius_rearth,radius_rearth_uperr,radius_rearth_lowerr,mass_mearth,mass_mearth_uperr,mass_mearth_lowerr
156.01,1.29,0.08,-0.07,2.1106655389003737,1.3615894583035906,-0.6576332162329928
156.02,1.0,0.07,-0.06,1.000301986176419,0.6797833114248926,-0.3664980165077316
156.03,2.08,0.13,-0.12,5.594944667061562,3.9991501010217396,-2.3321661992463736
157.01,2.88,0.19,-0.18,8.648961501411774,7.4650698475249,-3.909470186833409
157.02,3.2,0.21,-0.21,10.64250943930535,7.989524227183505,-4.688358775716818
157.03,4.12,0.27,-0.26,15.459241732302317,12.751884253397645,-6.443945951120451
157.04,2.52,0.16,-0.16,6.884555032633036,5.678871605250987,-2.7855761992869823
157.05,3.4,0.22,-0.22,11.325778611063082,9.775477483093049,-4.989360248711162
157.06,1.84,0.12,-0.12,4.362141002802925,3.2747381078723423,-1.540306550583551
158.01,4.52,0.97,-2.28,nan,nan,nan
159.01,2.78,0.46,-0.39,8.127181148415854,7.332060583886463,-3.8545865048408423
159.02,1.24,0.2,-0.17,1.9426179054533255,1.7525624092804541,-0.8780946457605188
160.01,3.84,1.09,-0.73,13.936321228397947,14.866062255959935,-7.193092860281341
161.01,2.68,0.17,-0.1,7.716907147181495,6.219414081216452,-3.1700038717916854
162.01,3.11,0.45,-0.41,10.000460988621814,8.249092886687912,-4.520369767309727
163.01,2.08,0.14,-0.09,5.257409090923838,3.946832045928847,-2.0616091853725336
164.01,3.07,0.75,-1.37,9.795170771832296,10.872917147073803,-5.696191938486243
165.01,2.38,0.18,-0.12,6.33641836235192,4.989360248711162,-2.717092987580523
166.01,2.2,0.17,-0.1,5.712205246829019,4.288255741792795,-2.4494267790138307
167.01,2.86,0.5,-0.36,8.29751312309095,7.161728609211368,-3.6553144433770006
168.01,3.06,0.19,-0.12,9.594094768083302,8.280830890023545,-4.444610167165967
168.02,2.17,0.13,-0.09,5.594944667061562,4.405516321560252,-2.1939683821025078
168.03,1.72,0.11,-0.07,4.098978833346053,2.6442495347705526,-1.5551288787058257
169.01,16.15,3.82,-1.18,1350.3217676041277,39597.54025567844,-1178.8798099690707
170.01,6.17,0.97,-2.25,nan,nan,nan
171.01,3.26,0.58,-0.58,10.2100537412314,9.618191616124841,-4.729962519919313
171.02,2.47,0.45,-0.44,6.743228368116606,6.083506448684236,-3.0480480533828263
172.01,2.23,0.28,-0.27,6.078939593664214,4.563569845641136,-2.5339120029313724
172.02,1.73,0.21,-0.22,3.851692887832603,3.474863558272947,-1.4112116371811556
173.01,2.58,0.41,-0.4,7.480108680791123,5.615452809130588,-3.5476908228310404
174.01,2.59,0.1,-0.16,7.176156343264998,6.474079032742613,-3.077177509918945
175.01,5.76,0.91,-2.13,27.064773966829218,32.46150135248443,-13.969212476907508
176.01,3.49,0.62,-0.62,11.805491805490165,10.650504714946711,-5.851341141901633
177.01,1.78,0.26,-0.21,4.272594643575012,3.364284467100256,-1.7287446889347842
178.01,1.82,0.41,-0.41,4.098978833346053,3.69795635034167,-1.9440773136604288
179.01,4.24,0.75,-0.57,16.796555148752585,13.854995660308148,-7.781259367570719
179.02,5.8,1.04,-0.77,27.63200586553049,24.92863606219314,-12.800946538248756
180.01,2.19,0.28,-0.1,5.712205246829019,4.497848494402381,-2.311228961869965
181.01,17.19,5.8,-1.92,3260.275153599839,49260.040468368126,-3081.5716228773817
182.01,12.86,3.63,-1.22,1336.318281796676,12303.444171026986,-1194.0706499181247
183.01,12.73,1.6,-1.45,1610.5788140665904,12904.882105106879,-1416.41639905081
184.01,13.32,4.55,-1.52,1482.3472429362553,17525.587615053577,-1330.9670448925103
185.01,21.19,5.53,-1.83,49351.83477947461,18011.475946314735,-49157.67236445883
186.01,12.91,2.11,-0.91,1513.41473465726,13306.265701287273,-1319.2523196414795
187.01,15.4,4.68,-1.57,1678.7962792232704,39269.0657440593,-1507.3543215882137
188.01,10.07,0.75,-0.47,2339.516573377393,12175.944345796077,-2266.2697509850077
189.01,10.99,0.9,-1.11,2221.4137763576946,13549.718085111064,-2090.4916612225925
190.01,28.29,4.52,-9.04,74724.57668930222,25177.74371302793,-25372.741909827615
191.01,10.89,1.11,-0.82,2388.5488848826085,12126.91203429086,-2249.221323110762
191.02,2.25,0.23,-0.17,6.078939593664214,4.563569845641136,-2.6066845964602496
191.03,1.2,0.12,-0.09,1.7512467702646617,1.3789495139962844,-0.64163470290698
191.04,2.07,0.21,-0.16,5.367595495752086,3.6477002854297798,-2.3016561166998835
192.01,13.43,2.01,-3.02,1545.1333484729253,15590.292221326825,-1377.21076426373
193.01,14.39,4.89,-1.64,1610.5788140665904,29017.455086439175,-1449.479721890991
194.01,14.16,4.43,-1.48,1451.9175070264844,25036.92999418406,-1297.3646359994968
195.01,11.38,1.51,-0.93,2291.49080085773,12223.97011831574,-2168.467042934533
196.01,10.05,0.59,-0.66,2364.032729130001,12151.428190043469,-2275.753026644554
197.01,7.31,0.47,-0.3,44.524248357927256,41.94324174231321,-21.59761212111484
198.01,15.86,2.17,-0.73,919.953266415442,34494.06240820597,-737.504411857635
199.01,16.91,2.61,-3.92,2023.3456035754616,46315.39099248879,-1862.2465113998621
199.02,2.6,0.4,-0.6,7.32655644610555,6.901846510408201,-3.553931400130382
200.01,14.31,0.88,-1.34,1229.9228720791552,15905.502697720596,-1035.7604570633748
201.01,9.0,1.42,-0.77,153.0323459009482,10931.738686312832,-115.31574619570847
202.01,13.25,0.85,-1.05,1451.9175070264844,11633.596624314456,-1249.5311742083625
203.01,14.48,0.88,-0.88,1086.0000114452866,13733.680424499247,-899.727337397484
204.01,12.4,1.03,-0.93,2023.3456035754616,12796.334832369073,-1779.4223224726652
205.01,7.94,1.06,-0.71,59.526275319313655,6404.729297660913,-32.46150135248443
206.01,13.08,2.45,-3.0,1282.2931076076463,14819.375010377174,-1134.0204536770577
208.01,10.96,3.52,-1.17,1155.7232597619466,11140.359194554043,-1102.0610356538523
209.01,10.6,1.91,-1.9,1336.318281796676,13793.957597587721,-1268.9032479722557
209.02,7.39,1.33,-1.33,48.882790221053995,2493.0154365234603,-26.426793700617118
210.01,17.36,5.48,-2.74,4687.246021892645,51204.972886620024,-4522.770565146412
211.01,11.13,1.8,-1.8,1862.2502362329415,13268.025643151455,-1762.2712085322921
212.01,6.61,2.13,-0.71,34.71366759433909,51.753822505901375,-18.59963624540242
213.01,45.18,13.93,-4.67,130821.66725144877,33527.598350331784,-30919.34684911862
214.01,9.06,1.16,-0.33,468.8445373399619,11327.589694751532,-427.0063777131828
215.01,41.62,11.07,-7.39,115513.2044110983,32645.689714467182,-30885.70440371387
216.01,6.24,0.27,-0.55,32.61943816249342,26.906837156820238,-14.369884287183691
216.02,1.42,0.06,-0.12,2.7639076219363186,2.074915416621763,-0.9002275071596109
217.01,12.78,0.85,-0.52,1577.5167308013768,12348.11207965128,-1370.8887226610698
218.01,14.81,2.0,-0.92,1155.7232597619466,21283.04425911566,-969.4505857141439
219.01,7.79,1.37,-1.37,55.935134239130335,4582.701893324654,-31.025211967693114
220.01,3.55,0.75,-0.32,11.805491805490165,10.650504714946711,-5.599147916780642
220.02,0.88,0.19,-0.08,0.6470874291780925,0.6628038031729274,-0.34041504138999074
221.01,6.62,1.37,-1.12,36.56317282671472,51.7165296587319,-19.055184989536762
221.02,1.28,0.26,-0.22,2.0673376376622215,1.9474970493019135,-1.1076826714563985
222.01,2.0,0.26,-0.33,4.940236587513072,4.075059193668794,-1.9988808850816944
222.02,1.6,0.21,-0.26,3.5450275907328415,2.7913907716190787,-1.520128415887052
223.01,2.65,0.41,-0.19,7.480108680791123,6.170126695216489,-3.026544578484211
223.02,2.64,0.41,-0.19,7.480108680791123,5.889913634762889,-3.207514037216111
224.01,26.5,8.58,-2.86,70216.54228585963,21731.723715114626,-34060.30872401802
225.01,44.67,7.91,-2.97,125505.76166009618,25758.29236546796,-19189.523928656607
226.01,2.42,0.11,-0.19,6.4692189770198,4.856559634043283,-2.696593931044632
227.01,2.45,0.27,-0.26,6.6740156180680374,6.152719198732805,-2.9013905720928697
229.01,5.81,1.6,-0.94,29.406032740434362,30.120242578879292,-15.177629783920612
230.01,37.24,7.42,-4.33,104133.76999150624,24002.380216141013,-19506.269984121813
231.01,26.96,1.68,-0.96,70216.54228585963,10972.140513923281,-9489.324642231142
232.01,5.65,0.89,-0.9,26.78698010705962,23.637873337158247,-12.558577150545869
232.02,2.27,0.36,-0.36,5.954150663588532,4.911407778217342,-2.6229898760980066
232.03,2.18,0.35,-0.34,5.480091221312087,4.520369767309727,-2.3498949370511406
232.04,2.39,0.38,-0.38,6.078939593664214,5.246839017398869,-2.6066845964602496
